epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,402.484,0.67202,0.55157,1.06938,0.92855,0.91238,0.93813,0.71667,0.85608,0.6383,1.22462,0.003169,0.003169,0.003169
71,408.07,0.66373,0.55574,1.06337,0.93894,0.88003,0.93433,0.72738,0.8799,0.6491,1.23292,0.00307,0.00307,0.00307
72,413.571,0.69964,0.56896,1.0859,0.92761,0.91905,0.94044,0.72734,0.87151,0.59933,1.23158,0.002971,0.002971,0.002971
73,419.076,0.67226,0.54266,1.05815,0.9365,0.89427,0.93682,0.72616,0.88715,0.59907,1.23636,0.002872,0.002872,0.002872
74,424.63,0.68006,0.54707,1.06485,0.92064,0.87768,0.92469,0.72258,0.86713,0.6387,1.2008,0.002773,0.002773,0.002773
75,430.191,0.6742,0.54693,1.07433,0.90262,0.90845,0.92933,0.72666,0.82859,0.60826,1.20319,0.002674,0.002674,0.002674
76,435.782,0.66731,0.53472,1.06459,0.88577,0.91086,0.92334,0.71153,0.86879,0.64296,1.23328,0.002575,0.002575,0.002575
77,441.205,0.64757,0.52734,1.06918,0.93289,0.88489,0.92168,0.71637,0.86591,0.64347,1.23216,0.002476,0.002476,0.002476
78,446.72,0.64309,0.51039,1.04313,0.9087,0.91775,0.93525,0.7358,0.8478,0.61111,1.21139,0.002377,0.002377,0.002377
79,452.3,0.63109,0.5122,1.05143,0.9472,0.87652,0.93585,0.72915,0.85757,0.60393,1.24015,0.002278,0.002278,0.002278
80,457.828,0.62819,0.50784,1.04931,0.9213,0.92143,0.93669,0.70795,0.91968,0.58405,1.3226,0.002179,0.002179,0.002179
81,463.352,0.62493,0.49309,1.04684,0.93235,0.91304,0.93621,0.72353,0.87244,0.57422,1.25184,0.00208,0.00208,0.00208
82,469.019,0.64013,0.51846,1.07551,0.93635,0.91349,0.94127,0.73425,0.83013,0.58205,1.1883,0.001981,0.001981,0.001981
83,474.532,0.62127,0.49711,1.04379,0.94356,0.89976,0.93988,0.73707,0.82564,0.57455,1.18434,0.001882,0.001882,0.001882
84,480.063,0.59519,0.49657,1.04532,0.92298,0.91966,0.93538,0.72666,0.86269,0.5916,1.2283,0.001783,0.001783,0.001783
85,485.543,0.62158,0.50576,1.04082,0.9489,0.9019,0.93769,0.72608,0.85024,0.57424,1.22674,0.001684,0.001684,0.001684
86,491.02,0.61134,0.49251,1.05191,0.94147,0.91302,0.94449,0.7257,0.83179,0.57879,1.19572,0.001585,0.001585,0.001585
87,496.511,0.6024,0.4697,1.03884,0.92946,0.91013,0.94006,0.73205,0.83307,0.57424,1.20651,0.001486,0.001486,0.001486
88,501.978,0.60711,0.48258,1.02659,0.92029,0.90916,0.93889,0.73572,0.82625,0.55355,1.19388,0.001387,0.001387,0.001387
89,507.397,0.62063,0.49506,1.05119,0.92684,0.90487,0.94,0.74011,0.82542,0.5694,1.18117,0.001288,0.001288,0.001288
90,512.824,0.58375,0.45569,1.02693,0.94168,0.89278,0.94325,0.74077,0.848,0.55151,1.21494,0.001189,0.001189,0.001189
91,538.539,0.58879,0.47084,1.05223,0.92618,0.89753,0.92771,0.71431,0.89266,0.58983,1.25245,0.00109,0.00109,0.00109
92,544.28,0.56231,0.43637,1.03189,0.9431,0.89398,0.9264,0.71887,0.84141,0.5952,1.20065,0.000991,0.000991,0.000991
93,549.963,0.54869,0.41987,1.01294,0.91876,0.92104,0.9328,0.73504,0.82702,0.59957,1.19262,0.000892,0.000892,0.000892
94,555.564,0.53524,0.41071,0.98862,0.94152,0.90057,0.93892,0.73144,0.86233,0.58029,1.21551,0.000793,0.000793,0.000793
95,561.042,0.54435,0.40417,0.99495,0.93546,0.9151,0.94039,0.73865,0.84465,0.55946,1.21281,0.000694,0.000694,0.000694
96,566.489,0.52631,0.39761,0.99884,0.95326,0.91372,0.93681,0.73637,0.84623,0.56049,1.22793,0.000595,0.000595,0.000595
97,571.976,0.53467,0.40276,1.00229,0.94917,0.90478,0.93174,0.7358,0.85183,0.55439,1.2358,0.000496,0.000496,0.000496
98,577.492,0.51867,0.38043,1.00164,0.93361,0.91319,0.93098,0.72282,0.84548,0.56006,1.23886,0.000397,0.000397,0.000397
99,582.882,0.51786,0.38177,0.98558,0.94572,0.91578,0.93545,0.73211,0.84725,0.56628,1.23261,0.000298,0.000298,0.000298
100,588.336,0.51086,0.38389,0.99615,0.93759,0.92052,0.93751,0.73522,0.84092,0.5516,1.22567,0.000199,0.000199,0.000199
